real,imag,np,sw,time
1.11420925,-0.0255686233,4096.0,10000.0,1350.3296703296705
0.608229616,0.521965,4096.0,10000.0,1351.3299145299145
0.132097042,0.269680932,4096.0,10000.0,1352.330158730159
0.305270532,0.0153316003,4096.0,10000.0,1353.3304029304031
0.418258526,0.216367926,4096.0,10000.0,1354.3306471306473
0.266279231,0.235062918,4096.0,10000.0,1355.3308913308915
0.465688129,0.161955557,4096.0,10000.0,1356.3311355311355
0.645579566,0.65253211,4096.0,10000.0,1357.33137973138
0.0700770461,1.13123355,4096.0,10000.0,1358.3316239316239
-0.597766662,0.796675179,4096.0,10000.0,1359.3318681318683
-0.579024092,0.292443536,4096.0,10000.0,1360.3321123321125
-0.456082182,0.245447517,4096.0,10000.0,1361.3323565323565
-0.597994353,0.0986564978,4096.0,10000.0,1362.332600732601
-0.400075037,-0.225734441,4096.0,10000.0,1363.3328449328449
-0.0367229363,-0.0204574032,4096.0,10000.0,1364.3330891330893
-0.324965373,0.366497409,4096.0,10000.0,1365.3333333333335
-0.828992315,0.0501117638,4096.0,10000.0,1366.3335775335777
-0.678387996,-0.515973793,4096.0,10000.0,1367.3338217338219
-0.313906818,-0.584777803,4096.0,10000.0,1368.3340659340658
-0.258160591,-0.610621934,4096.0,10000.0,1369.3343101343103
0.0272841113,-0.845781539,4096.0,10000.0,1370.3345543345545
